Agent Name,Scenario ID,Steps Taken,Survivors Rescued,Resources Collected,Energy Used,Computation Time (s)
DijkstraAgent,0,20,2,2,20,0.0007450580596923828
DijkstraAgent,1,20,2,1,20,0.0002849102020263672
DijkstraAgent,2,20,2,2,20,0.0006721019744873047
DijkstraAgent,3,20,3,3,20,0.0038232803344726562
DijkstraAgent,4,6,1,1,6,0.00013208389282226562
DijkstraAgent,5,20,3,0,20,0.0009341239929199219
DijkstraAgent,6,12,2,2,12,0.0003707408905029297
DijkstraAgent,7,18,4,1,18,0.0006089210510253906
